season,team,win,type
2002,Giants,0,Home
2002,Jaguars,0,Home
2002,Commanders,1,Home
2002,Dolphins,1,Home
2002,Titans,1,Home
2002,Panthers,1,Home
2002,Browns,0,Home
2002,Bengals,0,Home
2002,Bears,1,Home
2002,Bills,0,Home
2002,Packers,1,Home
2002,Broncos,1,Home
2002,Raiders,1,Home
2002,Buccaneers,0,Home
2002,Texans,1,Home
2002,Patriots,1,Home
2002,Saints,1,Home
2002,Ravens,0,Home
2002,Panthers,1,Home
2002,Chiefs,0,Home
2002,Jets,0,Home
2002,Cowboys,1,Home
2002,Browns,1,Home
2002,Falcons,0,Home
2002,Colts,0,Home
2002,Rams,0,Home
2002,Seahawks,0,Home
2002,Vikings,0,Home
2002,Chargers,1,Home
2002,49ers,0,Home
2002,Steelers,0,Home
2002,Commanders,0,Home
2002,Texans,0,Home
2002,Eagles,1,Home
2002,Patriots,1,Home
2002,Bears,0,Home
2002,Dolphins,1,Home
2002,Titans,0,Home
2002,Vikings,0,Home
2002,Broncos,1,Home
2002,Cardinals,0,Home
2002,49ers,1,Home
2002,Lions,0,Home
2002,Giants,1,Home
2002,Falcons,1,Home
2002,Buccaneers,1,Home
2002,Bills,1,Home
2002,Lions,1,Home
2002,Packers,1,Home
2002,Chiefs,1,Home
2002,Rams,0,Home
2002,Eagles,1,Home
2002,Steelers,1,Home
2002,Jaguars,1,Home
2002,Bengals,0,Home
2002,Cardinals,1,Home
2002,Chargers,1,Home
2002,Raiders,1,Home
2002,Seahawks,1,Home
2002,Ravens,1,Home
2002,Panthers,0,Home
2002,Falcons,0,Home
2002,Bills,0,Home
2002,Cowboys,0,Home
2002,Titans,0,Home
2002,Colts,1,Home
2002,Dolphins,1,Home
2002,Saints,1,Home
2002,Jets,0,Home
2002,Broncos,1,Home
2002,49ers,1,Home
2002,Jaguars,1,Home
2002,Browns,0,Home
2002,Bears,0,Home
2002,Texans,0,Home
2002,Commanders,0,Home
2002,Giants,0,Home
2002,Patriots,0,Home
2002,Buccaneers,1,Home
2002,Colts,1,Home
2002,Cowboys,1,Home
2002,Bengals,0,Home
2002,Vikings,1,Home
2002,Titans,1,Home
2002,Rams,1,Home
2002,Chargers,1,Home
2002,Broncos,0,Home
2002,Seahawks,0,Home
2002,Jets,1,Home
2002,Ravens,1,Home
2002,Dolphins,0,Home
2002,Saints,1,Home
2002,Chiefs,0,Home
2002,Rams,1,Home
2002,Lions,1,Home
2002,Falcons,1,Home
2002,Browns,1,Home
2002,Raiders,0,Home
2002,Packers,1,Home
2002,Eagles,1,Home
2002,Cardinals,1,Home
2002,Steelers,1,Home
2002,Ravens,0,Home
2002,Panthers,0,Home
2002,Jets,0,Home
2002,Saints,0,Home
2002,Bills,1,Home
2002,Chiefs,1,Home
2002,Cowboys,0,Home
2002,Bengals,0,Home
2002,Vikings,1,Home
2002,49ers,1,Home
2002,Patriots,0,Home
2002,Jaguars,0,Home
2002,Commanders,1,Home
2002,Eagles,1,Home
2002,Falcons,1,Home
2002,Bills,0,Home
2002,Bears,0,Home
2002,Browns,0,Home
2002,Lions,1,Home
2002,Colts,0,Home
2002,Buccaneers,1,Home
2002,Texans,0,Home
2002,Chargers,0,Home
2002,Seahawks,0,Home
2002,Cardinals,0,Home
2002,Raiders,0,Home
2002,Giants,1,Home
2002,Packers,1,Home
2002,Packers,1,Home
2002,Titans,1,Home
2002,Rams,1,Home
2002,Vikings,0,Home
2002,Eagles,0,Home
2002,Steelers,0,Home
2002,Panthers,0,Home
2002,Ravens,1,Home
2002,Jaguars,1,Home
2002,Cardinals,0,Home
2002,Bears,0,Home
2002,49ers,1,Home
2002,Jets,1,Home
2002,Broncos,0,Home
2002,Eagles,1,Home
2002,Texans,0,Home
2002,Giants,1,Home
2002,Vikings,1,Home
2002,Chiefs,1,Home
2002,Colts,1,Home
2002,Titans,1,Home
2002,Bengals,0,Home
2002,Falcons,1,Home
2002,Chargers,1,Home
2002,Buccaneers,1,Home
2002,Lions,0,Home
2002,Dolphins,1,Home
2002,Seahawks,0,Home
2002,Raiders,1,Home
2002,Rams,1,Home
2002,Panthers,0,Home
2002,Commanders,1,Home
2002,Steelers,1,Home
2002,Ravens,1,Home
2002,Jets,1,Home
2002,Dolphins,1,Home
2002,Patriots,1,Home
2002,Cowboys,1,Home
2002,Bears,1,Home
2002,Saints,0,Home
2002,Cardinals,0,Home
2002,Seahawks,1,Home
2002,Buccaneers,1,Home
2002,Texans,1,Home
2002,Broncos,0,Home
2002,49ers,0,Home
2002,Lions,0,Home
2002,Cowboys,1,Home
2002,Vikings,0,Home
2002,Giants,0,Home
2002,Chiefs,1,Home
2002,Jaguars,0,Home
2002,Browns,0,Home
2002,Bengals,0,Home
2002,Bills,1,Home
2002,Packers,1,Home
2002,Chargers,1,Home
2002,Colts,1,Home
2002,Eagles,1,Home
2002,49ers,1,Home
2002,Saints,1,Home
2002,Raiders,1,Home
2002,Panthers,1,Home
2002,Commanders,0,Home
2002,Buccaneers,1,Home
2002,Steelers,0,Home
2002,Jaguars,0,Home
2002,Chiefs,1,Home
2002,Titans,1,Home
2002,Cowboys,0,Home
2002,Patriots,1,Home
2002,Cardinals,1,Home
2002,Seahawks,0,Home
2002,Ravens,0,Home
2002,Jets,1,Home
2002,Chargers,0,Home
2002,Packers,1,Home
2002,Dolphins,1,Home
2002,Saints,0,Home
2002,Texans,0,Home
2002,Steelers,1,Home
2002,Eagles,1,Home
2002,Dolphins,1,Home
2002,Falcons,0,Home
2002,Browns,0,Home
2002,Bengals,0,Home
2002,Bears,1,Home
2002,Bills,1,Home
2002,Lions,0,Home
2002,Broncos,1,Home
2002,Giants,1,Home
2002,49ers,0,Home
2002,Rams,1,Home
2002,Titans,1,Home
2002,Vikings,1,Home
2002,Cardinals,0,Home
2002,Cowboys,0,Home
2002,Commanders,1,Home
2002,Jaguars,0,Home
2002,Chiefs,1,Home
2002,Panthers,1,Home
2002,Packers,1,Home
2002,Bengals,1,Home
2002,Colts,0,Home
2002,Falcons,1,Home
2002,Seahawks,1,Home
2002,Raiders,1,Home
2002,Ravens,0,Home
2002,Patriots,0,Home
2002,Buccaneers,0,Home
2002,Giants,1,Home
2002,Raiders,1,Home
2002,Texans,0,Home
2002,Commanders,1,Home
2002,Steelers,1,Home
2002,Saints,0,Home
2002,Bills,1,Home
2002,Lions,0,Home
2002,Browns,1,Home
2002,Patriots,1,Home
2002,Colts,1,Home
