season,team,wins,games,win_pct
2002,49ers,11,18,0.6111111111111112
2002,Bears,4,16,0.25
2002,Bengals,2,16,0.125
2002,Bills,8,16,0.5
2002,Broncos,9,16,0.5625
2002,Browns,9,17,0.5294117647058824
2002,Buccaneers,15,19,0.7894736842105263
2002,Cardinals,5,16,0.3125
2002,Chargers,8,16,0.5
2002,Chiefs,8,16,0.5
2002,Colts,10,17,0.5882352941176471
2002,Commanders,7,16,0.4375
2002,Cowboys,5,16,0.3125
2002,Dolphins,9,16,0.5625
2002,Eagles,13,18,0.7222222222222222
2002,Falcons,10,18,0.5555555555555556
2002,Giants,10,17,0.5882352941176471
2002,Jaguars,6,16,0.375
2002,Jets,10,18,0.5555555555555556
2002,Lions,3,16,0.1875
2002,Packers,12,17,0.7058823529411765
2002,Panthers,7,16,0.4375
2002,Patriots,9,16,0.5625
2002,Raiders,13,19,0.6842105263157895
2002,Rams,7,16,0.4375
2002,Ravens,7,16,0.4375
2002,Saints,9,16,0.5625
2002,Seahawks,7,16,0.4375
2002,Steelers,11,18,0.6111111111111112
2002,Texans,4,16,0.25
2002,Titans,12,18,0.6666666666666666
2002,Vikings,6,16,0.375
2003,49ers,7,16,0.4375
2003,Bears,7,16,0.4375
2003,Bengals,8,16,0.5
2003,Bills,6,16,0.375
2003,Broncos,10,17,0.5882352941176471
2003,Browns,5,16,0.3125
2003,Buccaneers,7,16,0.4375
2003,Cardinals,4,16,0.25
2003,Chargers,4,16,0.25
2003,Chiefs,13,17,0.7647058823529411
2003,Colts,14,19,0.7368421052631579
2003,Commanders,5,16,0.3125
2003,Cowboys,10,17,0.5882352941176471
2003,Dolphins,10,16,0.625
2003,Eagles,13,18,0.7222222222222222
2003,Falcons,5,16,0.3125
2003,Giants,4,16,0.25
2003,Jaguars,5,16,0.3125
2003,Jets,6,16,0.375
2003,Lions,5,16,0.3125
2003,Packers,11,18,0.6111111111111112
2003,Panthers,14,20,0.7
2003,Patriots,17,19,0.8947368421052632
2003,Raiders,4,16,0.25
2003,Rams,12,17,0.7058823529411765
2003,Ravens,10,17,0.5882352941176471
2003,Saints,8,16,0.5
2003,Seahawks,10,17,0.5882352941176471
2003,Steelers,6,16,0.375
2003,Texans,5,16,0.3125
2003,Titans,13,18,0.7222222222222222
2003,Vikings,9,16,0.5625
2004,49ers,2,16,0.125
2004,Bears,5,16,0.3125
2004,Bengals,8,16,0.5
2004,Bills,9,16,0.5625
2004,Broncos,10,17,0.5882352941176471
2004,Browns,4,16,0.25
2004,Buccaneers,5,16,0.3125
2004,Cardinals,6,16,0.375
2004,Chargers,12,17,0.7058823529411765
2004,Chiefs,7,16,0.4375
2004,Colts,13,18,0.7222222222222222
2004,Commanders,6,16,0.375
2004,Cowboys,6,16,0.375
2004,Dolphins,4,16,0.25
2004,Eagles,15,19,0.7894736842105263
2004,Falcons,12,18,0.6666666666666666
2004,Giants,6,16,0.375
2004,Jaguars,9,16,0.5625
2004,Jets,11,18,0.6111111111111112
2004,Lions,6,16,0.375
2004,Packers,10,17,0.5882352941176471
2004,Panthers,7,16,0.4375
2004,Patriots,17,19,0.8947368421052632
2004,Raiders,5,16,0.3125
2004,Rams,9,18,0.5
2004,Ravens,9,16,0.5625
2004,Saints,8,16,0.5
2004,Seahawks,9,17,0.5294117647058824
2004,Steelers,16,18,0.8888888888888888
2004,Texans,7,16,0.4375
2004,Titans,5,16,0.3125
2004,Vikings,9,18,0.5
2005,49ers,4,16,0.25
2005,Bears,11,17,0.6470588235294118
2005,Bengals,11,17,0.6470588235294118
2005,Bills,5,16,0.3125
2005,Broncos,14,18,0.7777777777777778
2005,Browns,6,16,0.375
2005,Buccaneers,11,17,0.6470588235294118
2005,Cardinals,5,16,0.3125
2005,Chargers,9,16,0.5625
2005,Chiefs,10,16,0.625
2005,Colts,14,17,0.8235294117647058
2005,Commanders,11,18,0.6111111111111112
2005,Cowboys,9,16,0.5625
2005,Dolphins,9,16,0.5625
2005,Eagles,6,16,0.375
2005,Falcons,8,16,0.5
2005,Giants,11,17,0.6470588235294118
2005,Jaguars,12,17,0.7058823529411765
2005,Jets,4,16,0.25
2005,Lions,5,16,0.3125
2005,Packers,4,16,0.25
2005,Panthers,13,19,0.6842105263157895
2005,Patriots,11,18,0.6111111111111112
2005,Raiders,4,16,0.25
2005,Rams,6,16,0.375
2005,Ravens,6,16,0.375
2005,Saints,3,16,0.1875
2005,Seahawks,15,19,0.7894736842105263
2005,Steelers,15,20,0.75
2005,Texans,2,16,0.125
2005,Titans,4,16,0.25
2005,Vikings,9,16,0.5625
2006,49ers,7,16,0.4375
2006,Bears,15,19,0.7894736842105263
2006,Bengals,8,16,0.5
2006,Bills,7,16,0.4375
2006,Broncos,9,16,0.5625
2006,Browns,4,16,0.25
2006,Buccaneers,4,16,0.25
2006,Cardinals,5,16,0.3125
2006,Chargers,14,17,0.8235294117647058
2006,Chiefs,9,17,0.5294117647058824
2006,Colts,16,20,0.8
2006,Commanders,5,16,0.3125
2006,Cowboys,9,17,0.5294117647058824
2006,Dolphins,6,16,0.375
2006,Eagles,11,18,0.6111111111111112
2006,Falcons,7,16,0.4375
2006,Giants,8,17,0.47058823529411764
2006,Jaguars,8,16,0.5
2006,Jets,10,17,0.5882352941176471
2006,Lions,3,16,0.1875
2006,Packers,8,16,0.5
2006,Panthers,8,16,0.5
2006,Patriots,14,19,0.7368421052631579
2006,Raiders,2,16,0.125
2006,Rams,8,16,0.5
2006,Ravens,13,17,0.7647058823529411
2006,Saints,11,18,0.6111111111111112
2006,Seahawks,10,18,0.5555555555555556
2006,Steelers,8,16,0.5
2006,Texans,6,16,0.375
2006,Titans,8,16,0.5
2006,Vikings,6,16,0.375
2007,49ers,5,16,0.3125
2007,Bears,7,16,0.4375
2007,Bengals,7,16,0.4375
2007,Bills,7,16,0.4375
2007,Broncos,7,16,0.4375
2007,Browns,10,16,0.625
2007,Buccaneers,9,17,0.5294117647058824
